epoch,jaccard,loss,val_jaccard,val_loss
0,0.225001426538,0.665972443422,0.15411863178,0.707097542286
1,0.304305706422,0.505395354827,0.163869848847,0.72968941927
2,0.315802992384,0.465793007612,0.165790304542,0.734344148636
3,0.325035095215,0.440088085334,0.175930556655,0.698583316803
4,0.338066619635,0.418619300922,0.181062114239,0.653855609894
5,0.346731036901,0.40322616895,0.192762291431,0.608942246437
6,0.348329704007,0.396006097396,0.20928760469,0.568004226685
7,0.354363856713,0.384863181909,0.216019445658,0.535334408283
8,0.358539829652,0.376606700818,0.226644971967,0.509352016449
9,0.360728724798,0.37034941713,0.230092403293,0.499865406752
10,0.363338241975,0.36457174023,0.238333061337,0.484947502613
11,0.37039497296,0.356437840064,0.245126438141,0.463127869368
12,0.369091230631,0.35212538441,0.254618555307,0.451677560806
13,0.375288440784,0.345272193352,0.265454468131,0.431554406881
14,0.38069280386,0.337692350149,0.284028577805,0.408480274677
