epoch,jaccard,loss,val_jaccard,val_loss
0,0.225001426538,0.665972443422,0.15411863178,0.707097542286
1,0.304305706422,0.505395354827,0.165695205331,0.729416310787
2,0.315802992384,0.465793007612,0.16684268713,0.734160459042
3,0.325035095215,0.440088085334,0.177759119868,0.696288394928
4,0.338066619635,0.418619300922,0.181343844533,0.65327694416
5,0.346731036901,0.40322616895,0.198639041185,0.609828162193
6,0.348329704007,0.396006097396,0.20445587337,0.567013907433
7,0.354363856713,0.384863181909,0.217168331146,0.535721230507
8,0.358539829652,0.376606700818,0.227506038547,0.509206712246
9,0.360728724798,0.37034941713,0.22970199883,0.499226617813
10,0.363338241975,0.36457174023,0.233365118504,0.483952003717
11,0.37039497296,0.356437840064,0.245014095306,0.464043569565
12,0.369091230631,0.35212538441,0.254580116272,0.452290952206
13,0.375288440784,0.345272193352,0.268052914739,0.43034645915
14,0.38069280386,0.337692350149,0.284168928862,0.407575154305
